2004,4,624,113,0,0,0,0,WHILE DRIVING 35 MPH FRONT DRIVER SIDE TIRE DEFLATTED. CONSUMER PULLED OVER AND CHANGED THE TIRE.  DEALERSHIP WAS NOTIFED BUT DID NOT RESOLVE THE PROBLEM. MICHELIN 225/75R16.*AK  PE04066_CAT,N
2004,8,662,113,0,0,0,0,THE TWO FRONT TIRE SIDEWALL WAS DEFECTIVE.  THERE WAS A BUBBLE IN THE TIRES.  VEHICLE'S  PERFORMANCE WAS DEFECTIVE.  THE TIRES  HAD TO BE REPLACED TWICE.  MANUFACTURER STATED NO COMPLAINTS NO RECALLS.*AK,N
2006,2,300,105,0,0,0,0,PASSENGER AIR BAG OFF -- INDICATOR IS LIT. WILL NOT ENGAGE PASSENGER SAFETY AIR BAG WHEN WIFE WEIGHING 105 POUNDS IS IN SEAT. CHEVROLET DEALER CANNOT FIX. *TR,N
2007,4,1434,105,0,0,0,0,PASSENGER'S SIDE AIRBAG DISARMS ITSELF AT RANDOM WITH OR WITHOUT OCCUPANT IN PSGR SEAT. DEALER CHECKED AND CALIBRATED SEAT SENSOR TO NO AVAIL. DEALER REPLACED AIRBAG CONTROL MODULE (OCM) AND VEHICLE SEEMS TO BE FIXED.  *NM,N
2012,4,1434,105,1,0,2,0,I WAS IN A ACCCIDENT WHERE THERE WAS A CAR THAT STOPPED ON HIS BRAKES QUICKLY AND I HIT THE BACK OF HIM AND MY CAR FLIPPED UPSIDE DOWN. THE AIRBAG DIDNT SUPRESS DURING THE ACCIDENT CAUSING ME AND MY FIANCEE TO GET SERIOUSLY HURT.   *JS,R
2011,2,472,105,0,0,0,0,ON 4 DIFFERENT OCCASIONS THE SERVICE AIRBAG INDICATOR HAS TURNED ON IN MY CAR. IT HAS BEEN IN THE SERVICE DEPARTMENT EACH TIME WITH WORK LISTED AS CONNECTIONS CLEANED SENSOR CHECKED WARNING RESET.....BUT NO REPLACEMENT PARTS AND NOTHING NOTED AS DEFECTIVE. I'VE BEEN TOLD PUTTING A LAP TOP ON THE PASSENGER SEAT COULD SET OFF THE SENSOR.....A BLUE-TOOTH CALL COULD SET OFF THE SENSOR BUT NOT WHY? MOST RECENT TRIP (#5) TO HENDRICKS MOTORS WAS 04/24/2014. WE PICKED THE CAR UP RAN ERRANDS (APPX. 40 MILES) AND THE LIGHT IS ON AGAIN - THE SAME DAY! I HAVE BEEN TOLD THE AIR BAGS WILL STILL DEPLOY THE AIR BAGS MIGHT DEPLOY AND THE AIR BAGS WILL NOT DEPLOY AS LONG AS THE SERVICE LIGHT IS ON. WHAT IS MY NEXT STEP? I AM TRYING TO DOCUMENT EVERYTHING IN CASE THERE IS AN ACCIDENT AND THE BAGS DON'T DEPLOY. ,N
2005,1,339,105,0,0,0,0,MY WIFE IS APPROXIMATELY 110 LBS AND WHEN SHE SITS IN THE SEAT THE AIRBAG LIGHT GOES OUT.  THIS MEANS THAT SHE IS AN ADULT IN THE FRONT SEAT WITHOUT THE PROTECTION OF THE AIRBAG.  SHE HAS TO BOUNCE UP AND DOWN TO TURN THE LIGHT OFF.  I HAVE COMMUNICATED WITH FORD NUMEROUS TIMES. THEY HAVE EVEN SUPPOSEDLY REPLACED THE SENSOR. *JB,R
2000,1,738,105,1,0,1,0,DT*: THE CONTACT STATED THE AIRBAGS DID NOT DEPLOY IN AN ACCIDENT CAUSING THE DRIVER TO HIT AND FRACTURE THE WINDSHIELD AT 35 MPH.  THE ACCIDENT WAS A REAR END COLLISION.  THE DRIVER WAS WEARING A SEATBELT.  THE AIRBAG WARNING LIGHT WAS NOT ON PRIOR TO THE CRASH.  PICTURES WERE AVAILABLE AND A POLICE REPORT WAS TAKEN.,R
2002,4,288,105,0,0,0,0,AIRBAG LIGHT COMES ON EVERY TIME YOU TURN THE STEERING WHEEL.  DCX RECALLED 1996-2000 FOR THE SAME DEFECT BUT IT CONTINUED INTO 2002MY (PURCHASED IN SEPTEMBER 2001).  WHY DID NHTSA ALLOW DCX TO ONLY RECALL THE 96 -2000 VEHICLES WHEN THE PROBLEM WAS NOT FIXED UNITL EARLY 2002?*AK,N
2000,2,369,105,0,0,0,0,CONSUMER COMPLAINED ABOUT AN AIR BAG PROBLEM.  AIR BAG LIGHT STAYED ON. CONSUMER CONTACTED THE MANUFACTURER  WHO TOLD CONSUMER THAT BECAUSE THE VEHICLE HAD 68000 MILES AND WAS OUT OF WARRANTY AND THERE WAS NOTHING ELSE THEY COULD DO. *AK . SERIAL REQUEST 1264681108. COSTUMER RELATIONS MANGER TINA MANN 1-866-952-4368 EX 581-08.*AK,N
